generation,ID,score,rawScores,ownScore
0,161,18.500000,"[20.000000,19.000000,15.000000,20.000000]",18.500000
100,10121,37.250000,"[37.000000,39.000000,36.000000,37.000000]",37.250000
200,20148,34.500000,"[35.000000,36.000000,36.000000,31.000000]",34.500000
300,30186,37.500000,"[38.000000,39.000000,38.000000,35.000000]",37.500000
400,40163,37.250000,"[39.000000,39.000000,37.000000,34.000000]",37.250000
500,50141,38.000000,"[36.000000,38.000000,38.000000,40.000000]",38.000000
600,60124,36.500000,"[36.000000,39.000000,36.000000,35.000000]",36.500000
700,70113,36.750000,"[32.000000,38.000000,36.000000,41.000000]",36.750000
800,80156,38.000000,"[37.000000,41.000000,35.000000,39.000000]",38.000000
900,90196,36.250000,"[40.000000,36.000000,37.000000,32.000000]",36.250000
1000,100162,35.750000,"[35.000000,38.000000,35.000000,35.000000]",35.750000
1100,110151,37.500000,"[37.000000,39.000000,40.000000,34.000000]",37.500000
1200,120141,36.750000,"[32.000000,37.000000,41.000000,37.000000]",36.750000
1300,130193,36.250000,"[35.000000,34.000000,37.000000,39.000000]",36.250000
1400,140136,37.500000,"[42.000000,38.000000,41.000000,29.000000]",37.500000
1500,150119,37.000000,"[38.000000,33.000000,38.000000,39.000000]",37.000000
1600,160170,35.250000,"[32.000000,33.000000,38.000000,38.000000]",35.250000
1700,170159,35.750000,"[36.000000,38.000000,31.000000,38.000000]",35.750000
1800,180185,36.750000,"[36.000000,36.000000,40.000000,35.000000]",36.750000
1900,190143,35.500000,"[30.000000,35.000000,37.000000,40.000000]",35.500000
2000,200179,36.500000,"[40.000000,34.000000,35.000000,37.000000]",36.500000
2100,210185,36.000000,"[34.000000,36.000000,38.000000,36.000000]",36.000000
2200,220131,37.500000,"[39.000000,34.000000,38.000000,39.000000]",37.500000
2300,230116,37.500000,"[36.000000,39.000000,36.000000,39.000000]",37.500000
2400,240116,37.500000,"[38.000000,40.000000,35.000000,37.000000]",37.500000
2500,250179,37.250000,"[38.000000,36.000000,42.000000,33.000000]",37.250000
2600,260129,37.000000,"[37.000000,36.000000,39.000000,36.000000]",37.000000
2700,270152,37.750000,"[39.000000,34.000000,36.000000,42.000000]",37.750000
2800,280128,37.000000,"[35.000000,37.000000,37.000000,39.000000]",37.000000
2900,290187,37.500000,"[33.000000,41.000000,42.000000,34.000000]",37.500000
3000,300127,36.500000,"[35.000000,36.000000,33.000000,42.000000]",36.500000
3100,310106,36.250000,"[34.000000,38.000000,34.000000,39.000000]",36.250000
3200,320102,37.000000,"[40.000000,37.000000,39.000000,32.000000]",37.000000
3300,330122,38.000000,"[42.000000,35.000000,34.000000,41.000000]",38.000000
3400,340158,35.750000,"[36.000000,36.000000,30.000000,41.000000]",35.750000
3500,350130,37.250000,"[35.000000,36.000000,37.000000,41.000000]",37.250000
3600,360100,37.250000,"[37.000000,36.000000,39.000000,37.000000]",37.250000
3700,370101,38.000000,"[37.000000,35.000000,39.000000,41.000000]",38.000000
3800,380184,37.500000,"[36.000000,39.000000,35.000000,40.000000]",37.500000
3900,390118,37.250000,"[36.000000,38.000000,36.000000,39.000000]",37.250000
4000,400142,36.250000,"[37.000000,36.000000,36.000000,36.000000]",36.250000
4100,410115,37.250000,"[36.000000,40.000000,36.000000,37.000000]",37.250000
4200,420195,37.000000,"[39.000000,34.000000,40.000000,35.000000]",37.000000
4300,430177,34.500000,"[31.000000,18.000000,41.000000,48.000000]",34.500000
4400,440104,36.500000,"[35.000000,41.000000,36.000000,34.000000]",36.500000
4500,450198,37.000000,"[40.000000,36.000000,33.000000,39.000000]",37.000000
4600,460198,37.250000,"[36.000000,34.000000,40.000000,39.000000]",37.250000
4700,470100,37.000000,"[39.000000,39.000000,35.000000,35.000000]",37.000000
4800,480129,37.000000,"[39.000000,38.000000,33.000000,38.000000]",37.000000
4900,490127,36.750000,"[37.000000,32.000000,36.000000,42.000000]",36.750000
5000,500137,36.750000,"[33.000000,39.000000,37.000000,38.000000]",36.750000
5100,510120,36.250000,"[32.000000,38.000000,37.000000,38.000000]",36.250000
5200,520137,37.000000,"[32.000000,40.000000,39.000000,37.000000]",37.000000
5300,530101,37.500000,"[38.000000,43.000000,35.000000,34.000000]",37.500000
5400,540195,38.250000,"[37.000000,41.000000,37.000000,38.000000]",38.250000
5500,550126,36.500000,"[38.000000,37.000000,38.000000,33.000000]",36.500000
5600,560199,37.000000,"[33.000000,41.000000,37.000000,37.000000]",37.000000
5700,570195,37.750000,"[34.000000,43.000000,38.000000,36.000000]",37.750000
5800,580100,37.000000,"[41.000000,37.000000,36.000000,34.000000]",37.000000
5900,590100,37.250000,"[37.000000,37.000000,34.000000,41.000000]",37.250000
6000,600123,38.000000,"[40.000000,36.000000,38.000000,38.000000]",38.000000
6100,610173,37.750000,"[36.000000,37.000000,41.000000,37.000000]",37.750000
6200,620185,37.500000,"[40.000000,40.000000,30.000000,40.000000]",37.500000
6300,630112,36.750000,"[38.000000,36.000000,38.000000,35.000000]",36.750000
6400,640164,36.750000,"[32.000000,39.000000,38.000000,38.000000]",36.750000
6500,650172,38.000000,"[36.000000,39.000000,40.000000,37.000000]",38.000000
6600,660136,36.000000,"[31.000000,38.000000,37.000000,38.000000]",36.000000
6700,670113,38.250000,"[39.000000,41.000000,38.000000,35.000000]",38.250000
6800,680170,37.500000,"[36.000000,45.000000,32.000000,37.000000]",37.500000
6900,690196,36.750000,"[38.000000,34.000000,36.000000,39.000000]",36.750000
7000,700146,37.000000,"[33.000000,34.000000,37.000000,44.000000]",37.000000
7100,710160,37.000000,"[38.000000,37.000000,36.000000,37.000000]",37.000000
7200,720176,38.000000,"[39.000000,35.000000,39.000000,39.000000]",38.000000
7300,730156,36.000000,"[39.000000,30.000000,33.000000,42.000000]",36.000000
7400,740100,37.000000,"[39.000000,39.000000,39.000000,31.000000]",37.000000
